name,,,,total,pct
LARRY A. ELDER,,"3,153.00","22,582.00","25,735.00",0.44
KEVIN PAFFRATH,,161.00,"6,044.00","6,205.00",0.11
KEVIN L. FAULCONER,,114.00,"4,121.00","4,235.00",0.07
JOHN COX,,119.00,"3,377.00","3,496.00",0.06
BRANDON M. ROSS,,60.00,"2,533.00","2,593.00",0.04
"ARMANDO ""MANDO"" PEREZ-SERRATO",,140.00,"1,940.00","2,080.00",0.04
JOEL VENTRESCA,,30.00,"2,003.00","2,033.00",0.03
DANIEL WATTS,,79.00,"1,320.00","1,399.00",0.02
KEVIN KILEY,,115.00,"1,133.00","1,248.00",0.02
JACQUELINE MCGOWAN,,52.00,"1,127.00","1,179.00",0.02
Write-in,,70.00,"2,644.00","2,714.00",0.05
